State	LogProb	m[0][0]	m[0][1]	m[0][2]	m[0][3]	m[0][4]	m[0][5]	m[0][6]	m[0][7]	m[0][8]	m[0][9]	m[0][10]	m[0][11]	m[0][12]	m[0][13]	m[1][0]	m[1][1]	m[1][2]	m[1][3]	m[1][4]	m[1][5]	m[1][6]	m[1][7]	m[1][8]	m[1][9]	m[1][10]	m[1][11]	m[1][12]	m[1][13]	m[2][0]	m[2][1]	m[2][2]	m[2][3]	m[2][4]	m[2][5]	m[2][6]	m[2][7]	m[2][8]	m[2][9]	m[2][10]	m[2][11]	m[2][12]	m[2][13]	m[3][0]	m[3][1]	m[3][2]	m[3][3]	m[3][4]	m[3][5]	m[3][6]	m[3][7]	m[3][8]	m[3][9]	m[3][10]	m[3][11]	m[3][12]	m[3][13]	m[4][0]	m[4][1]	m[4][2]	m[4][3]	m[4][4]	m[4][5]	m[4][6]	m[4][7]	m[4][8]	m[4][9]	m[4][10]	m[4][11]	m[4][12]	m[4][13]	m[5][0]	m[5][1]	m[5][2]	m[5][3]	m[5][4]	m[5][5]	m[5][6]	m[5][7]	m[5][8]	m[5][9]	m[5][10]	m[5][11]	m[5][12]	m[5][13]	m[6][0]	m[6][1]	m[6][2]	m[6][3]	m[6][4]	m[6][5]	m[6][6]	m[6][7]	m[6][8]	m[6][9]	m[6][10]	m[6][11]	m[6][12]	m[6][13]	m[7][0]	m[7][1]	m[7][2]	m[7][3]	m[7][4]	m[7][5]	m[7][6]	m[7][7]	m[7][8]	m[7][9]	m[7][10]	m[7][11]	m[7][12]	m[7][13]	m[8][0]	m[8][1]	m[8][2]	m[8][3]	m[8][4]	m[8][5]	m[8][6]	m[8][7]	m[8][8]	m[8][9]	m[8][10]	m[8][11]	m[8][12]	m[8][13]	m[9][0]	m[9][1]	m[9][2]	m[9][3]	m[9][4]	m[9][5]	m[9][6]	m[9][7]	m[9][8]	m[9][9]	m[9][10]	m[9][11]	m[9][12]	m[9][13]	m[10][0]	m[10][1]	m[10][2]	m[10][3]	m[10][4]	m[10][5]	m[10][6]	m[10][7]	m[10][8]	m[10][9]	m[10][10]	m[10][11]	m[10][12]	m[10][13]	m[11][0]	m[11][1]	m[11][2]	m[11][3]	m[11][4]	m[11][5]	m[11][6]	m[11][7]	m[11][8]	m[11][9]	m[11][10]	m[11][11]	m[11][12]	m[11][13]	m[12][0]	m[12][1]	m[12][2]	m[12][3]	m[12][4]	m[12][5]	m[12][6]	m[12][7]	m[12][8]	m[12][9]	m[12][10]	m[12][11]	m[12][12]	m[12][13]	m[13][0]	m[13][1]	m[13][2]	m[13][3]	m[13][4]	m[13][5]	m[13][6]	m[13][7]	m[13][8]	m[13][9]	m[13][10]	m[13][11]	m[13][12]	m[13][13]	
110	-638790	0.737224	0.0238095	0.0238095	0.00300235	0.0238095	0.0238095	0.0238095	0.0198239	0.0238095	0.0238095	0.0238095	0.0238095	0.00185411	0.0238095	0.0101963	0.688914	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0158831	0.0242815	0.0238095	0.0464396	0.0238095	0.0238095	0.695917	0.0238095	0.0238095	0.0238095	0.0343551	0.0238095	0.0238095	0.0238095	0.0238095	0.00782279	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.710906	0.0238095	0.0238095	0.00860066	0.0238095	0.0238095	0.0185885	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.704495	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.00979096	0.0238095	0.0195916	0.0238095	0.00641254	0.0230161	0.712885	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.00804975	0.0238095	0.0238095	0.706236	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0249049	0.709608	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.00358245	0.0238095	0.0238095	0.0238095	0.0025411	0.0238095	0.0109588	0.0238095	0.0037622	0.744643	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0124979	0.0238095	0.0245865	0.0238095	0.0238095	0.00777557	0.0238095	0.728022	0.0128323	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0171289	0.0238095	0.0238095	0.0195219	0.0238095	0.70587	0.0193836	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0166568	0.0164661	0.0238095	0.0238095	0.0238095	0.0238095	0.704972	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0213979	0.0238095	0.00704289	0.0238095	0.0238095	0.0211985	0.712266	0.0238095	0.0238095	0.020065	0.0238095	0.0184316	0.0238095	0.0242448	0.0238095	0.0185789	0.00705028	0.0238095	0.0175085	0.0104816	0.0238095	0.740782	
120	-637826	0.737224	0.0238095	0.0238095	0.00300235	0.0238095	0.0238095	0.0238095	0.0198239	0.0238095	0.0238095	0.0238095	0.0238095	0.00185411	0.0238095	0.0101963	0.700579	0.0238095	0.0121443	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0158831	0.0242815	0.0238095	0.0464396	0.0238095	0.0238095	0.703914	0.0238095	0.0238095	0.0158131	0.0343551	0.0238095	0.0238095	0.0238095	0.0238095	0.00782279	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.710906	0.0238095	0.0238095	0.00860066	0.0238095	0.0238095	0.0185885	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.704495	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.00979096	0.0238095	0.0195916	0.0238095	0.00641254	0.0230161	0.734208	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.00248591	0.0238095	0.0238095	0.0238095	0.00804975	0.0238095	0.0238095	0.706236	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0249049	0.709793	0.0238095	0.0236239	0.0238095	0.0238095	0.0238095	0.00358245	0.0238095	0.00885095	0.0238095	0.0025411	0.0238095	0.0109588	0.0238095	0.0037622	0.759601	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0124979	0.0238095	0.0245865	0.0238095	0.0238095	0.00777557	0.0238095	0.728022	0.0128323	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0171289	0.0238095	0.0238095	0.0195219	0.0238095	0.70587	0.0193836	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0166568	0.0164661	0.0238095	0.0238095	0.0238095	0.0238095	0.704972	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0213979	0.0238095	0.00704289	0.0238095	0.0238095	0.0211985	0.712266	0.0238095	0.0238095	0.020065	0.0238095	0.0184316	0.0238095	0.0242448	0.0238095	0.0185789	0.00705028	0.0238095	0.0175085	0.0104816	0.0238095	0.740782	
130	-637820	0.741727	0.0238095	0.0238095	0.00300235	0.0238095	0.0193065	0.0238095	0.0198239	0.0238095	0.0238095	0.0238095	0.0238095	0.00185411	0.0238095	0.0101963	0.700579	0.0238095	0.0121443	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0158831	0.0242815	0.0238095	0.0464396	0.0238095	0.0238095	0.703914	0.0238095	0.0238095	0.0158131	0.0343551	0.0238095	0.0238095	0.0238095	0.0238095	0.00782279	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.710906	0.0238095	0.0238095	0.00860066	0.0238095	0.0238095	0.0185885	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.704495	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.00979096	0.0238095	0.0195916	0.0238095	0.00641254	0.0230161	0.734208	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.00248591	0.0238095	0.0238095	0.0135377	0.00804975	0.0238095	0.0237568	0.716561	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0249049	0.709793	0.0238095	0.0236239	0.0238095	0.0238095	0.0238095	0.00358245	0.0238095	0.00885095	0.0238095	0.0025411	0.0238095	0.0109588	0.0238095	0.0037622	0.759601	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0124979	0.0238095	0.0245865	0.0238095	0.0238095	0.00777557	0.0238095	0.728022	0.0128323	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0171289	0.0238095	0.0238095	0.0195219	0.0238095	0.70587	0.0193836	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0274747	0.0238095	0.0166568	0.0164661	0.0238095	0.0238095	0.0238095	0.0238095	0.701307	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0213979	0.0238095	0.00704289	0.0238095	0.0238095	0.0211985	0.712266	0.0238095	0.0238095	0.020065	0.0238095	0.0184316	0.0238095	0.0242448	0.0238095	0.0185789	0.00705028	0.0238095	0.0175085	0.0104816	0.0238095	0.740782	
140	-635795	0.741727	0.0238095	0.0238095	0.00300235	0.0238095	0.0193065	0.0238095	0.0198239	0.0238095	0.0238095	0.0238095	0.0238095	0.00185411	0.0238095	0.0101963	0.700579	0.0238095	0.0121443	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0158831	0.0242815	0.0238095	0.0464396	0.0238095	0.0238095	0.735824	0.0238095	0.0238095	0.0158131	0.00244445	0.0238095	0.0238095	0.0238095	0.0238095	0.00782279	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.710906	0.0238095	0.0238095	0.00860066	0.0238095	0.0238095	0.0185885	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.704495	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.00979096	0.0238095	0.0195916	0.0238095	0.00641254	0.0230161	0.734208	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.00248591	0.0238095	0.0238095	0.0135377	0.00804975	0.0238095	0.0237568	0.716561	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0249049	0.709793	0.0238095	0.0236239	0.0238095	0.0238095	0.0238095	0.00358245	0.0238095	0.00885095	0.0238095	0.0025411	0.0238095	0.0109588	0.0238095	0.0037622	0.759601	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0124979	0.0238095	0.0245865	0.0238095	0.0238095	0.00777557	0.0238095	0.728022	0.0128323	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0171289	0.0238095	0.0238095	0.0195219	0.0238095	0.70587	0.0193836	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0274747	0.0238095	0.0166568	0.0164661	0.0238095	0.0238095	0.0238095	0.0238095	0.701307	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0213979	0.0238095	0.00704289	0.0238095	0.0238095	0.0211985	0.712266	0.0238095	0.0238095	0.020065	0.0238095	0.0184316	0.0238095	0.0242448	0.0238095	0.0185789	0.00705028	0.0238095	0.0175085	0.0104816	0.00557879	0.759013	
150	-632527	0.741727	0.0238095	0.0238095	0.00300235	0.0238095	0.0193065	0.0238095	0.0198239	0.0238095	0.0238095	0.0238095	0.0238095	0.00185411	0.0238095	0.0101963	0.700579	0.0238095	0.0121443	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0158831	0.0242815	0.0238095	0.0464396	0.0238095	0.0238095	0.735824	0.0238095	0.0238095	0.0158131	0.00244445	0.0238095	0.0238095	0.0238095	0.0238095	0.00782279	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.710906	0.0238095	0.0238095	0.00860066	0.0238095	0.0238095	0.0185885	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.704495	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.00979096	0.0238095	0.0195916	0.0238095	0.00641254	0.0230161	0.751746	0.0238095	0.00627201	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.00248591	0.0238095	0.0238095	0.0135377	0.00804975	0.0238095	0.0237568	0.716561	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0249049	0.70778	0.0258235	0.0236239	0.0238095	0.0238095	0.0238095	0.00358245	0.0238095	0.00885095	0.0238095	0.0025411	0.0238095	0.0109588	0.0238095	0.0037622	0.759601	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0124979	0.0238095	0.0245865	0.0238095	0.0238095	0.00777557	0.0238095	0.728022	0.0128323	0.0238095	0.0238095	0.0238095	0.0238095	0.0217646	0.0238095	0.0238095	0.0238095	0.0171289	0.0238095	0.0238095	0.0195219	0.0238095	0.707915	0.0193836	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0274747	0.0238095	0.0166568	0.0164661	0.0238095	0.0238095	0.0238095	0.0238095	0.701307	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0213979	0.0238095	0.00704289	0.0238095	0.0238095	0.0211985	0.712266	0.0238095	0.0238095	0.020065	0.0238095	0.0184316	0.0238095	0.0242448	0.0238095	0.0185789	0.00705028	0.0238095	0.0175085	0.0104816	0.00557879	0.759013	
160	-631490	0.741727	0.0238095	0.0238095	0.00300235	0.0238095	0.0193065	0.0238095	0.0198239	0.0238095	0.0238095	0.0238095	0.0238095	0.00185411	0.0238095	0.0101963	0.742575	0.0238095	0.0121443	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0158831	0.0242815	0.0238095	0.00444381	0.0238095	0.0238095	0.735824	0.0238095	0.0238095	0.0158131	0.00244445	0.0238095	0.0238095	0.0238095	0.0238095	0.00782279	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.710906	0.0238095	0.0238095	0.00860066	0.0238095	0.0238095	0.0185885	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.704495	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.00979096	0.0238095	0.0195916	0.0238095	0.00641254	0.0230161	0.751746	0.0238095	0.00627201	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.00248591	0.0238095	0.0238095	0.0135377	0.00804975	0.0238095	0.0237568	0.716561	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0152798	0.717405	0.0258235	0.0236239	0.0238095	0.0238095	0.0238095	0.00358245	0.0238095	0.00885095	0.0238095	0.0025411	0.0238095	0.0109588	0.0238095	0.0037622	0.759601	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0124979	0.0238095	0.0245865	0.0238095	0.0238095	0.00777557	0.0238095	0.728022	0.0128323	0.0238095	0.0238095	0.0238095	0.0238095	0.0217646	0.0238095	0.0238095	0.0238095	0.0171289	0.0238095	0.0238095	0.0198402	0.0238095	0.707597	0.0193836	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0274747	0.0238095	0.0166568	0.0164661	0.0238095	0.0238095	0.0238095	0.0238095	0.701307	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0213979	0.0238095	0.00704289	0.0238095	0.0238095	0.0211985	0.712266	0.0238095	0.0238095	0.020065	0.0238095	0.0184316	0.0238095	0.0242448	0.0238095	0.0185789	0.00705028	0.0238095	0.0175085	0.0104816	0.00557879	0.759013	
170	-630895	0.741727	0.0238095	0.0238095	0.00300235	0.0238095	0.0193065	0.0238095	0.0198239	0.0238095	0.0238095	0.0238095	0.0238095	0.00185411	0.0238095	0.0101963	0.742575	0.0238095	0.0121443	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0158831	0.0242815	0.0238095	0.00444381	0.0238095	0.0238095	0.735824	0.0238095	0.0238095	0.0158131	0.00244445	0.0238095	0.0238095	0.0238095	0.0238095	0.00782279	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.728101	0.00661449	0.0238095	0.00860066	0.0238095	0.0238095	0.0185885	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.720452	0.0238095	0.0238095	0.00785216	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.00979096	0.0238095	0.0195916	0.0238095	0.00641254	0.0230161	0.751746	0.0238095	0.00627201	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.00248591	0.0238095	0.0238095	0.0135377	0.00804975	0.0238095	0.0237568	0.716561	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0152798	0.717405	0.0258235	0.0236239	0.0238095	0.0238095	0.0238095	0.00358245	0.0238095	0.00885095	0.0238095	0.0025411	0.0238095	0.0170396	0.0238095	0.0037622	0.75352	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0124979	0.0238095	0.0245865	0.0238095	0.0238095	0.00777557	0.0238095	0.728022	0.0128323	0.0238095	0.0238095	0.0238095	0.0238095	0.0217646	0.0238095	0.0238095	0.0238095	0.0171289	0.0238095	0.0238095	0.0198402	0.0238095	0.707597	0.0193836	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0274747	0.0238095	0.0166568	0.0164661	0.0016527	0.0238095	0.0238095	0.0238095	0.723464	0.0238095	0.0238095	0.011659	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0213979	0.0238095	0.00704289	0.0238095	0.0238095	0.0211985	0.724416	0.0238095	0.0238095	0.020065	0.0238095	0.0184316	0.0238095	0.0242448	0.0238095	0.0185789	0.00705028	0.0238095	0.0175085	0.0104816	0.00557879	0.759013	
180	-629553	0.741727	0.0238095	0.0238095	0.00300235	0.0238095	0.0193065	0.0238095	0.0198239	0.0238095	0.0238095	0.0238095	0.0238095	0.00185411	0.0238095	0.0101963	0.742575	0.0238095	0.0121443	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0158831	0.0242815	0.0238095	0.00444381	0.0238095	0.0238095	0.735824	0.0238095	0.0238095	0.0158131	0.00244445	0.0238095	0.0238095	0.0238095	0.0238095	0.00782279	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.728101	0.00661449	0.0238095	0.00860066	0.0238095	0.0238095	0.0185885	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.720452	0.0238095	0.0238095	0.00785216	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.00979096	0.0238095	0.0195916	0.0238095	0.00641254	0.0230161	0.757723	0.0238095	0.00627201	0.0238095	0.0238095	0.0178321	0.0238095	0.0238095	0.00248591	0.0238095	0.0238095	0.0135377	0.00804975	0.0238095	0.0237568	0.716561	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0152798	0.738589	0.00463915	0.0236239	0.0238095	0.0238095	0.0238095	0.00358245	0.0238095	0.00885095	0.0238095	0.0025411	0.0238095	0.0170396	0.0238095	0.0037622	0.75352	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0124979	0.0238095	0.0245865	0.0238095	0.0238095	0.00777557	0.0238095	0.768154	0.0128323	0.0238095	0.00581648	0.00167075	0.0238095	0.0217646	0.0238095	0.0238095	0.0238095	0.0171289	0.0238095	0.0238095	0.0198402	0.0238095	0.707597	0.0193836	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0274747	0.0238095	0.0166568	0.0164661	0.0016527	0.0238095	0.0238095	0.0238095	0.723464	0.0238095	0.0238095	0.011659	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0213979	0.0238095	0.00704289	0.0238095	0.0238095	0.0211985	0.724416	0.0238095	0.0238095	0.020065	0.0238095	0.0184316	0.0238095	0.0242448	0.0238095	0.0185789	0.00705028	0.0238095	0.0175085	0.0104816	0.00557879	0.759013	
190	-627740	0.741727	0.0238095	0.0238095	0.00300235	0.0238095	0.0193065	0.0238095	0.0198239	0.0238095	0.0238095	0.0238095	0.0238095	0.00185411	0.0238095	0.0101963	0.742575	0.0238095	0.0121443	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0158831	0.0242815	0.0238095	0.00444381	0.0238095	0.0238095	0.7558	0.0238095	0.0238095	0.0158131	0.00244445	0.0238095	0.0238095	0.0238095	0.0238095	0.00782279	0.0238095	0.00383409	0.0238095	0.0238095	0.0238095	0.728101	0.00661449	0.0238095	0.00860066	0.0238095	0.0238095	0.0185885	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.720452	0.0238095	0.0238095	0.00785216	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.00979096	0.0238095	0.0195916	0.0238095	0.00641254	0.0230161	0.757723	0.0238095	0.00627201	0.0238095	0.0238095	0.0178321	0.0238095	0.0238095	0.00248591	0.0238095	0.0238095	0.0135377	0.00804975	0.0238095	0.0237568	0.716561	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0152798	0.738589	0.00463915	0.0236239	0.0238095	0.0238095	0.0238095	0.00358245	0.0238095	0.00885095	0.0238095	0.0025411	0.0238095	0.0170396	0.0238095	0.0037622	0.75352	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0124979	0.0238095	0.0245865	0.0238095	0.0238095	0.00777557	0.0238095	0.768154	0.0128323	0.0238095	0.00581648	0.00167075	0.0238095	0.0217646	0.0238095	0.0238095	0.0238095	0.0171289	0.0238095	0.0238095	0.0198402	0.0238095	0.707597	0.0193836	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0274747	0.0238095	0.0166568	0.0164661	0.0016527	0.0238095	0.0238095	0.0238095	0.723464	0.0238095	0.0238095	0.011659	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0213979	0.0238095	0.00704289	0.0238095	0.0238095	0.0211985	0.724416	0.0238095	0.0238095	0.020065	0.0238095	0.0184316	0.0238095	0.0242448	0.0238095	0.0185789	0.00705028	0.0238095	0.0175085	0.0104816	0.00557879	0.759013	
200	-627093	0.747249	0.018288	0.0238095	0.00300235	0.0238095	0.0193065	0.0238095	0.0198239	0.0238095	0.0238095	0.0238095	0.0238095	0.00185411	0.0238095	0.0101963	0.742575	0.0238095	0.0121443	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0158831	0.0242815	0.0238095	0.00444381	0.0238095	0.0238095	0.7558	0.0238095	0.0238095	0.0158131	0.00244445	0.0238095	0.0238095	0.0238095	0.0238095	0.00782279	0.0238095	0.00383409	0.0238095	0.0238095	0.0238095	0.728101	0.00661449	0.0238095	0.00860066	0.0238095	0.0238095	0.0185885	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.720452	0.0238095	0.0238095	0.00785216	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.00979096	0.0238095	0.0195916	0.0238095	0.00641254	0.0230161	0.757723	0.0238095	0.00627201	0.0238095	0.0238095	0.0178321	0.0238095	0.0238095	0.00248591	0.0238095	0.0238095	0.0135377	0.00804975	0.0238095	0.0237568	0.716561	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0152798	0.738589	0.00463915	0.0236239	0.0238095	0.0238095	0.0238095	0.00358245	0.0238095	0.00885095	0.0238095	0.0025411	0.0238095	0.0170396	0.0238095	0.0037622	0.75352	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0124979	0.0238095	0.0245865	0.0238095	0.0238095	0.00777557	0.0238095	0.768154	0.0128323	0.0238095	0.00581648	0.00167075	0.0238095	0.0217646	0.0238095	0.0238095	0.0238095	0.0171289	0.0238095	0.0238095	0.0198402	0.0238095	0.707597	0.0193836	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0274747	0.0238095	0.0166568	0.0164661	0.0016527	0.0238095	0.0238095	0.0238095	0.723464	0.0238095	0.0238095	0.011659	0.0238095	0.0238095	0.0238095	0.0238095	0.0238095	0.0213979	0.0238095	0.00704289	0.0238095	0.0238095	0.0211985	0.724416	0.0238095	0.0238095	0.020065	0.0238095	0.0184316	0.0238095	0.0242448	0.0238095	0.0185789	0.00705028	0.0238095	0.0175085	0.0104816	0.00557879	0.759013	
